Sphere	Avg. K	Avg. porosity	Avg. Vsolid	Avg. Vfluid	x	y	z
#	(cm/min)	(-)	(cm3)	(cm3)	(cm)	(cm)	(cm)
98	8.40E-003	0.33	42.53	21.24	27.50	22.50	2.50
99	1.07E-002	0.32	40.96	19.60	2.50	72.50	12.50
100	8.80E-003	0.33	41.70	20.22	17.50	72.50	17.50
101	2.04E-002	0.37	41.63	24.50	32.50	27.50	12.50
102	8.10E-003	0.33	40.98	20.12	22.50	92.50	17.50
104	1.72E-002	0.38	40.28	24.26	17.50	22.50	17.50
105	4.50E-003	0.35	40.46	21.65	7.50	42.50	17.50
108	3.80E-003	0.31	40.68	18.65	22.50	12.50	12.50
109	7.90E-003	0.31	41.67	18.82	32.50	77.50	12.50
110	1.65E-002	0.37	40.58	23.91	32.50	87.50	7.50
111	9.00E-003	0.34	40.92	20.80	17.50	7.50	17.50
112	1.92E-002	0.37	40.69	23.82	37.50	77.50	7.50
113	1.57E-002	0.32	40.91	19.02	12.50	7.50	2.50
114	6.10E-003	0.30	40.82	17.77	27.50	7.50	7.50
115	1.07E-002	0.35	41.01	22.54	22.50	32.50	17.50
116	1.47E-002	0.33	40.93	20.50	7.50	37.50	2.50
