% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
656000,2.48515114817976E-4
657000,2.4650622481023923E-4
658000,2.4451946971370663E-4
659000,2.4255460086368291E-4
660000,2.406113695954725E-4
661000,2.3868952724437996E-4
662000,2.3678882514570983E-4
663000,2.3490901463476662E-4
664000,2.3304984704685498E-4
665000,2.3121107371727932E-4
666000,2.2939244598134422E-4
667000,2.2759371517435425E-4
668000,2.25814632631614E-4
669000,2.240549496884279E-4
670000,2.2231441768010048E-4
671000,2.205927879419364E-4
672000,2.1888981180924008E-4
673000,2.172052406173161E-4
674000,2.1553882570146899E-4
675000,2.138903183970034E-4
676000,2.1225947003922373E-4
677000,2.1064603196343452E-4
678000,2.0904975550494037E-4
679000,2.0747039199904582E-4
680000,2.059076927810554E-4
681000,2.0436140918627359E-4
682000,2.0283129255000502E-4
683000,2.0131709420755418E-4
684000,1.9981856549422568E-4
685000,1.9833545774532396E-4
686000,1.968675222961536E-4
687000,1.9541451048201908E-4
688000,1.9397617363822503E-4
689000,1.9255226310007598E-4
690000,1.9114253020287644E-4
691000,1.8974672628193094E-4
692000,1.88364602672544E-4
693000,1.8699591071002025E-4
694000,1.8564040172966415E-4
695000,1.8429782706678023E-4
696000,1.8296793805667308E-4
697000,1.8165048603464723E-4
698000,1.803452223360072E-4
699000,1.7905189829605752E-4
700000,1.7777026525010278E-4
701000,1.7650007453344748E-4
702000,1.752410774813962E-4
703000,1.7399302542925335E-4
704000,1.727556697123236E-4
705000,1.7152876166591147E-4
706000,1.7031205262532152E-4
707000,1.691052939258582E-4
708000,1.6790823690282614E-4
709000,1.6672063289152977E-4
710000,1.6554223322727375E-4
711000,1.6437278924536254E-4
712000,1.6321205228110076E-4
713000,1.6205977366979285E-4
714000,1.609157047467434E-4
715000,1.5977959684725695E-4
716000,1.5865120130663808E-4
717000,1.5753026946019124E-4
718000,1.56416552643221E-4
719000,1.5530980219103188E-4
720000,1.5420976943892855E-4
721000,1.531162057222154E-4
722000,1.52028862376197E-4
723000,1.5094749073617795E-4
724000,1.498718421374627E-4
725000,1.4880166791535586E-4
726000,1.4773671940516194E-4
727000,1.466767479421855E-4
728000,1.4562150486173106E-4
729000,1.4457074149910317E-4
730000,1.4352420918960633E-4
731000,1.4248165926854513E-4
732000,1.4144284307122414E-4
733000,1.404075119329478E-4
734000,1.3937541718902073E-4
735000,1.3834631017474742E-4
736000,1.3731994222543242E-4
737000,1.3629606467638027E-4
738000,1.3527442886289556E-4
739000,1.3425478612028277E-4
740000,1.3323688778384645E-4
741000,1.3222048518889113E-4
742000,1.312053296707214E-4
743000,1.3032280223523814E-4
744000,1.2956797422114004E-4
745000,1.2882213089901857E-4
746000,1.2808512355642427E-4
747000,1.2735680348090775E-4
748000,1.266370219600195E-4
749000,1.259256302813101E-4
750000,1.252224797323301E-4
751000,1.2452742160063007E-4
752000,1.2384030717376058E-4
753000,1.2316098773927216E-4
754000,1.2248931458471539E-4
755000,1.2182513899764082E-4
756000,1.21168312265599E-4
757000,1.2051868567614049E-4
758000,1.1987611051681585E-4
759000,1.1924043807517564E-4
760000,1.1861151963877042E-4
761000,1.1798920649515073E-4
762000,1.1737334993186715E-4
763000,1.1676380123647022E-4
764000,1.161604116965105E-4
765000,1.1556303259953857E-4
766000,1.1497151523310494E-4
767000,1.1438571088476022E-4
768000,1.1380547084205495E-4
769000,1.1323064639253967E-4
770000,1.1266108882376495E-4
771000,1.1209664942328135E-4
772000,1.1153717947863943E-4
773000,1.1098253027738974E-4
774000,1.1043255310708282E-4
775000,1.0988709925526926E-4
776000,1.0934602000949962E-4
777000,1.0880916665732441E-4
778000,1.0827639048629425E-4
779000,1.0774754278395968E-4
780000,1.072224748378712E-4
781000,1.0670103793557942E-4
782000,1.0618308336463491E-4
783000,1.0566846241258817E-4
784000,1.0515702636698982E-4
785000,1.046486265153904E-4
786000,1.0414311414534045E-4
787000,1.0364034054439054E-4
788000,1.031401570000912E-4
789000,1.0264241479999304E-4
790000,1.0214696523164657E-4
791000,1.0165365958260237E-4
792000,1.0116234914041102E-4
793000,1.00672885192623E-4
794000,1.0018511902678897E-4
795000,9.96989019304594E-5
796000,9.921408519118489E-5
797000,9.8730520096516E-5
798000,9.824805793400328E-5
799000,9.776654999119726E-5
800000,9.728584755564856E-5
801000,9.680580191490768E-5
